Input1,Input2,Output
-58.0,60.0,0.21935927972104752
86.0,60.0,0.1253000088160099
51.0,60.0,0.24388167142361217
-9.0,60.0,0.3460845656139316
-69.0,60.0,0.1806719858809237
-90.0,60.0,0.1136283635754224
-44.0,60.0,0.2674798578100216
-10.0,60.0,0.34517249086037066
-7.0,60.0,0.34762614242756074
21.0,60.0,0.3292058221775197
28.0,60.0,0.31389052091140407
-29.0,60.0,0.31141536470806164
-47.0,60.0,0.25752778029563494
-136.0,60.0,0.02681722126317272
-129.0,60.0,0.034698038378761585
43.0,60.0,0.27073151193867595
-91.0,60.0,0.1108074782863344
35.0,60.0,0.29524167717248206
90.0,60.0,0.1136283635754224
-29.0,60.0,0.31141536470806164
-72.0,60.0,0.1703632895859901
-13.0,60.0,0.3418803876796338
144.0,60.0,0.019647166991946803
-86.0,60.0,0.1253000088160099
-68.0,60.0,0.18414268743270976
23.0,60.0,0.32520668442057904
-64.0,60.0,0.19815395233101912
2.0,60.0,0.3498056095579003
-39.0,60.0,0.2833500770337604
-80.0,60.0,0.1438893016775156
-135.0,60.0,0.027845828051379688
68.0,60.0,0.18414268743270976
-15.0,60.0,0.3392316320667204
93.0,60.0,0.10528628402504643
-16.0,60.0,0.33777419122638813
-110.0,60.0,0.06519466229419531
-38.0,60.0,0.2863966101442422
19.0,60.0,0.33288406146698796
-48.0,60.0,0.2541521629757918
124.0,60.0,0.041362621013623195
123.0,60.0,0.04280620867141521
81.0,60.0,0.1407074840831292
-56.0,60.0,0.2264168114125233
-115.0,60.0,0.05576394975872536
-149.0,60.0,0.01602998341921417
-30.0,60.0,0.3088739159046084
-143.0,60.0,0.02044614314825792
-144.0,60.0,0.019647166991946803
-1.0,60.0,0.34995139226450417
-42.0,60.0,0.27394658838465386
75.0,60.0,0.16024167662006497
94.0,60.0,0.10258697057860953
-61.0,60.0,0.2087479616073133
116.0,60.0,0.05400325192554891
-20.0,60.0,0.33108581411736787
7.0,60.0,0.34762614242756074
-44.0,60.0,0.2674798578100216
-128.0,60.0,0.03595893521587302
140.0,60.0,0.023004985015785663
133.0,60.0,0.029997906591015203
-146.0,60.0,0.018126547908235705
-18.0,60.0,0.334599118641585
-20.0,60.0,0.33108581411736787
104.0,60.0,0.07792220305761183
93.0,60.0,0.10528628402504643
-28.0,60.0,0.31389052091140407
113.0,60.0,0.059409903155456946
76.0,60.0,0.15691604737933004
-122.0,60.0,0.044287874765495124
112.0,60.0,0.061295775920802834
-139.0,60.0,0.02391392516756377
114.0,60.0,0.05756605980200421
13.0,60.0,0.3418803876796338
-101.0,60.0,0.084870587722229
