Input1,Input2,Output
96.0,60.0,0.27124446246602085
41.0,60.0,0.791693470029454
-10.0,60.0,0.986207116743917
20.0,60.0,0.9405949173553285
-91.0,60.0,0.31659280903384823
2.0,60.0,0.9994445986719045
9.0,60.0,0.9867960981828882
-94.0,60.0,0.3008082466042765
-25.0,60.0,0.9168553561532476
9.0,60.0,0.9888130446112331
93.0,60.0,0.2954315158898878
77.0,60.0,0.4301104548140309
28.0,60.0,0.8968300597464175
11.0,60.0,0.9833348696978593
90.0,60.0,0.32465238676740354
28.0,60.0,0.8960598411910288
27.0,60.0,0.9037069411560894
68.0,60.0,0.5180905941733673
47.0,60.0,0.735789726903737
-13.0,60.0,0.976801107656097
-25.0,60.0,0.9168562964510886
53.0,60.0,0.6768521261282823
-53.0,60.0,0.6823989127232776
40.0,60.0,0.8007374029168081
-99.0,60.0,0.2563401514184776
98.0,60.0,0.2634507325933103
-21.0,60.0,0.9406050093222825
52.0,60.0,0.6869075570898706
47.0,60.0,0.7357936579875284
-42.0,60.0,0.7834306886443905
69.0,60.0,0.5157710091694385
26.0,60.0,0.9100948270908648
-7.0,60.0,0.993220020701466
-7.0,60.0,0.9932175497932773
-62.0,60.0,0.5952352949575315
73.0,60.0,0.47703735435675954
47.0,60.0,0.730245381048705
-61.0,60.0,0.5964227474494671
-80.0,60.0,0.411112522734011
-38.0,60.0,0.8182764618186915
96.0,60.0,0.27803729996269166
-37.0,60.0,0.8268442864837954
83.0,60.0,0.38388667238885654
27.0,60.0,0.9037070778731947
43.0,60.0,0.7735186055390572
46.0,60.0,0.7453593045429746
-10.0,60.0,0.9862071167439163
77.0,60.0,0.4381583996959404
99.0,60.0,0.25229848800849447
-46.0,60.0,0.7453594566111872
12.0,60.0,0.9775614720163557
89.0,60.0,0.33282485481352997
64.0,60.0,0.5661541495146857
-10.0,60.0,0.9862071167439163
-40.0,60.0,0.8007374029168081
14.0,60.0,0.9731448668596555
-9.0,60.0,0.9888132369574698
